Wall time,Step,Value
1724429259.371582,4699,-1.0410765409469604
1724429260.2283242,4709,-0.9446367621421814
1724429261.104181,4719,-2.2063674926757812
1724429261.93699,4729,-0.5605970621109009
1724429262.8148339,4739,-3.5984063148498535
1724429263.690485,4749,-2.002458333969116
1724429264.6129842,4759,-0.9533324241638184
1724429266.450042,4779,-0.437772661447525
1724429267.369021,4789,-0.6470898389816284
1724429270.910576,4829,-1.5068782567977905
1724429271.834378,4839,-1.6765626668930054
1724429272.737331,4849,-1.4962880611419678
1724429273.636527,4859,-2.51713490486145
1724429274.51353,4869,-0.7961305379867554
1724429275.345999,4879,-1.06322181224823
1724429276.32609,4889,-0.8096078634262085
1724429277.160695,4899,0.0
1724429278.8473961,4919,-1.852277398109436
1724429279.725827,4929,-0.9406301379203796
1724429280.623347,4939,-1.522007703781128
1724429283.377654,4969,-1.9580917358398438
1724429284.323301,4979,-1.2584959268569946
1724429286.077091,4999,-1.5588399171829224
1724429288.838374,5029,-1.5123958587646484
1724429289.693902,5039,-1.4535659551620483
1724429290.550553,5049,-2.0338728427886963
1724429291.4526122,5059,-1.1512248516082764
1724429292.308598,5069,-0.7510033845901489
1724429293.2350478,5079,-2.0010743141174316
1724429294.162292,5089,-1.3310840129852295
1724429295.042655,5099,-1.0017577409744263
1724429295.900979,5109,-1.15071702003479
1724429296.826095,5119,-0.8791362047195435
1724429297.707092,5129,-1.6025662422180176
1724429299.5097,5149,-1.3356897830963135
1724429300.467884,5159,-1.6514720916748047
1724429301.345224,5169,-1.2356585264205933
1724429302.247655,5179,-0.7972686886787415
1724429303.151218,5189,-0.8794679641723633
1724429304.030262,5199,-1.4158021211624146
1724429304.9567602,5209,-1.8535385131835938
1724429306.719007,5229,-0.37427574396133423
1724429307.622943,5239,-0.9114891290664673
1724429308.5241332,5249,-2.2321584224700928
1724429309.4048169,5259,-0.6150861978530884
1724429314.8752482,5319,-0.6683875918388367
1724429316.593654,5339,-1.116182565689087
1724429317.432364,5349,-1.8593536615371704
1724429318.361757,5359,-0.1999480426311493
1724429319.287733,5369,-1.7839624881744385
1724429320.168156,5379,-0.8254701495170593
1724429321.003723,5389,-1.6222838163375854
1724429321.883095,5399,-0.7937493324279785
1724429322.742087,5409,-1.872449517250061
1724429323.643884,5419,-1.601123571395874
1724429324.534963,5429,-1.5976253747940063
1724429325.370305,5439,-1.8537777662277222
1724429326.250998,5449,-1.72586989402771
1724429327.154939,5459,-2.0313408374786377
1724429328.057497,5469,-1.57571542263031
1724429328.9390311,5479,-1.8614611625671387
1724429329.798271,5489,-1.4789644479751587
1724429330.696388,5499,-1.0685092210769653
1724429332.511133,5519,-1.1905263662338257
1724429333.4193752,5529,-0.7277685403823853
1724429334.274664,5539,-1.411270260810852
1724429335.896886,5559,-1.651332139968872
1724429336.788186,5569,-1.1847105026245117
1724429337.7184498,5579,-1.6172261238098145
1724429338.578474,5589,-1.7369978427886963
1724429339.4355042,5599,-1.3542762994766235
1724429340.318811,5609,-0.30327147245407104
1724429341.224501,5619,-0.6623722910881042
1724429342.130174,5629,-1.491088628768921
1724429343.05995,5639,-1.446671485900879
1724429343.995615,5649,-2.0008246898651123
1724429344.921985,5659,-1.7818394899368286
1724429345.802165,5669,-2.5263452529907227
1724429346.6852639,5679,-1.414951205253601
1724429347.569134,5689,-2.743443489074707
1724429348.429805,5699,-1.922357201576233
1724429349.394206,5709,-1.0669318437576294
1724429350.3203998,5719,-0.8859314322471619
1724429351.204318,5729,-1.827277660369873
1724429352.068602,5739,-0.9258724451065063
1724429352.976372,5749,-0.2727033793926239
1724429354.720414,5769,-1.7819916009902954
1724429355.60572,5779,-1.9136629104614258
1724429356.5138218,5789,-2.869370222091675
1724429357.4219809,5799,-1.1630233526229858
1724429358.331999,5809,-2.4240758419036865
1724429359.1898282,5819,-1.4512622356414795
1724429360.073132,5829,-1.5915175676345825
1724429360.898741,5839,-1.7479212284088135
1724429361.828182,5849,-2.137235403060913
1724429362.667941,5859,-0.9589405655860901
1724429363.577352,5869,-1.3385992050170898
1724429364.4617732,5879,-0.780612051486969
1724429365.370837,5889,-1.6185439825057983
1724429366.2352269,5899,-0.756920576095581
1724429368.025938,5919,-1.8000448942184448
1724429368.9336698,5929,-1.2667962312698364
1724429369.838929,5939,-2.0442094802856445
1724429371.540595,5959,-1.4008804559707642
1724429372.457406,5969,-0.9188804030418396
1724429373.363778,5979,-2.1641669273376465
1724429374.246689,5989,-1.8137670755386353
1724429375.117574,5999,-2.5799624919891357
1724429376.037684,6009,-1.1876055002212524
1724429377.079458,6019,-1.0329623222351074
1724429378.008767,6029,-1.167820692062378
1724429378.9577541,6039,-2.2549116611480713
1724429379.89924,6049,-2.1924350261688232
1724429380.843765,6059,-1.1707890033721924
1724429381.7563689,6069,-0.963523268699646
1724429383.50301,6089,-1.5409170389175415
1724429385.384678,6109,-0.8301440477371216
1724429386.2523782,6119,-1.7765977382659912
1724429387.1238122,6129,-1.8272521495819092
1724429389.8141818,6159,-1.4356765747070312
1724429393.545451,6199,-0.9593423008918762
1724429394.46326,6209,-0.9624196887016296
1724429395.385262,6219,-0.4862334132194519
1724429396.2862442,6229,-2.516038179397583
1724429397.180969,6239,-1.9725958108901978
1724429398.12012,6249,-2.22029185295105
1724429399.019685,6259,-1.0820722579956055
1724429399.957858,6269,-1.2450064420700073
1724429402.6486242,6299,-1.5392470359802246
1724429403.610247,6309,-1.4674863815307617
1724429404.502883,6319,-1.6850533485412598
1724429405.4280581,6329,-2.17501163482666
1724429407.2635531,6349,-1.3298230171203613
1724429408.2047958,6359,-1.1405686140060425
1724429409.091223,6369,-0.8427553176879883
1724429410.89084,6389,-1.127713918685913
1724429411.744779,6399,-1.5266883373260498
1724429412.6361752,6409,-1.0563849210739136
1724429413.4975748,6419,-1.832033395767212
1724429414.386745,6429,-1.5369929075241089
1724429415.274672,6439,-1.3260884284973145
